string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
FIPC,CNTYNAME,AREA,PERIMETER,POP1930,POP1960,POP1990,POP2000,POP1RACE,WHITE,BLACK,AMERIND,ASIAN,HAWPAC,POP1OTHER,POP2MRACE,POP2RACES,TNHISPANIC,TNNONHISP,TotalPop,NoralizePop,MalePop,UrbanPop,RuralPop,OneRacePop,MedianAge
81,Saluda,1195800000,152793.2,18148,14554,16357,19181,19058,12622,5753,44,7,1,631,123,117,1401,17780,66215,0.152,0.49,0.29,0.71,0.9918,40
73,Oconee,1749600000,208621,33368,40204,57494,66215,65670,59025,5550,145,235,13,702,545,504,1562,64653,91582,0.221,0.47,0.33,0.67,0.993,35
25,Chesterfield,2085700000,212606.7,34334,33717,38577,42768,42446,27515,14206,145,128,9,443,322,288,971,41797,110757,0.273,0.5,0.58,0.42,0.9915,33
75,Orangeburg,2917800000,318465.8,63864,68559,84083,91582,90945,34045,55736,423,396,15,330,637,601,875,90707,320677,0.841,0.48,0.87,0.13,0.9865,33
35,Dorchester,1487400000,230232.5,18956,24383,83060,96413,95099,68498,24176,703,1086,66,570,1314,1225,1722,94691,19181,0.025,0.5,0.17,0.83,0.9936,37
15,Berkeley,3177100000,284961.4,22236,38196,128776,142651,140233,96997,37985,748,2671,114,1718,2418,2273,3935,138716,253791,0.66,0.49,0.65,0.35,0.9896,36
19,Charleston,2583100000,547471.9,101050,216382,295039,309969,306365,191928,106918,813,3463,172,3071,3604,3334,7434,302535,104646,0.256,0.48,0.61,0.39,0.9884,33
29,Colleton,2747600000,295302.4,25821,27816,34377,38264,37952,21245,16140,242,97,15,213,312,286,551,37713,29881,0.054,0.47,0.36,0.64,0.9939,39
53,Jasper,1729900000,260074,9988,12237,15487,20678,20539,8766,10895,76,92,10,700,139,134,1190,19488,37217,0.074,0.47,0.15,0.85,0.9952,36
13,Beaufort,1636800000,472961.8,21815,44187,86425,120937,119231,85451,29005,321,953,63,3438,1706,1587,8208,112729,164614,0.418,0.48,0.64,0.36,0.9909,35
